Código,Instituição executora,Estado,Estratégia do trecho,Data,Ponto - Lat,Ponto - Long,Espécies - Classe,Espécies - Ordem,Espécies - Espécie,Espécie ameaçada,Caracterização do ambiente,Condição,Cidade
191150,Ambipar Response,Espírito Santo,Diário,2022-06-15,-206.198,-40.42,Reptilia,Testudines,Lepidochelys olivacea,Não,Arenoso,Morto,Guarapari
191148,Ambipar Response,Espírito Santo,Diário,2022-06-16,-211.466,-408.855,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
191130,Ambipar Response,Espírito Santo,Diário,2022-06-15,-202.204,-402.019,Reptilia,Testudines,Caretta caretta,Não,Arenoso,Morto,Serra
191128,Ambipar Response,Espírito Santo,Diário,2022-06-15,-201.869,-401.906,Reptilia,Testudines,Caretta caretta,Não,Arenoso,Morto,Serra
191124,Ambipar Response,Espírito Santo,Diário,2022-06-17,-1.965.419,-3.982.755,Reptilia,Testudines,Caretta caretta,Não,Arenoso,Morto,Linhares
191120,Ambipar Response,Rio de Janeiro,Diário,2022-06-17,-2.293.093,-4.203.764,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Morto,Cabo Frio
191117,Ambipar Response,Rio de Janeiro,Diário,2022-06-16,-2.293.901,-4.227.746,Aves,Suliformes,Sula leucogaster,Não,Arenoso,Vivo,Arraial do Cabo
191114,Ambipar Response,Rio de Janeiro,Diário,2022-06-16,-2.294.652,-4.211.373,Aves,Charadriiformes,Larus dominicanus,Não,Outros,Vivo,Arraial do Cabo
191113,Ambipar Response,Espírito Santo,Diário,2022-06-15,-20.057,-401.898,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Serra
191112,Ambipar Response,Rio de Janeiro,Diário,2022-06-17,-214.886.017,-41.063.395,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
191111,Ambipar Response,Rio de Janeiro,Diário,2022-06-17,-21.395.675,-409.941.683,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
191110,Ambipar Response,Rio de Janeiro,Diário,2022-06-17,-214.783.267,-410.568.633,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
191106,Ambipar Response,Espírito Santo,Diário,2022-06-15,-20.057,-401.898,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Serra
191091,Ambipar Response,Rio de Janeiro,Diário,2022-06-16,-225.585,-41.978,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Rio das Ostras
191046,Ambipar Response,Rio de Janeiro,Diário,2022-06-16,-21.465.425,-410.425.817,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
191045,Ambipar Response,Rio de Janeiro,Diário,2022-06-16,-213.966.033,-409.950.017,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
191030,Ambipar Response,Rio de Janeiro,Diário,2022-06-16,-2.266.744,-4.199.743,Aves,Suliformes,Sula leucogaster,Não,Arenoso,Vivo,Cabo Frio
191013,Ambipar Response,Espírito Santo,Diário,2022-06-15,-205.298.196,-403.729.263,Aves,Charadriiformes,Larus dominicanus,Não,Arenoso,Vivo,Vila Velha
191009,Ambipar Response,Espírito Santo,Diário,2022-06-13,-20.810.238,-406.610.085,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Anchieta
191006,Ambipar Response,Espírito Santo,Diário,2022-06-15,-210.128.867,-408.087.251,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
