Código,Instituição executora,Estado,Estratégia do trecho,Data,Ponto - Lat,Ponto - Long,Espécies - Classe,Espécies - Ordem,Espécies - Espécie,Espécie ameaçada,Caracterização do ambiente,Condição,Cidade
327574,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-11-03,-210.369,-408.178,Reptilia,Testudines,Caretta caretta,Não,Arenoso,Morto,Marataízes
327572,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-11-03,-210.963,-408.462,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
327564,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-11-03,-210.583,-408.333,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
327563,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-11-03,-209.304,-407.981,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Itapemirim
327562,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-11-03,-211.387,-408.763,Reptilia,Testudines,Caretta caretta,Não,Arenoso,Morto,Marataízes
327534,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Acionamento,2024-11-03,-208.058,-406.546,Aves,Charadriiformes,Rynchops niger,Não,Arenoso,Morto,Anchieta
327414,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-11-02,-208.943,-40.774,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Itapemirim
327413,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-11-02,-211.357,-40.871,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
327411,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-11-02,-211.059,-408.507,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
327409,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-11-02,-210.259,-408.116,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
327369,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Acionamento,2024-11-02,-208.344,-406.224,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Vivo,Anchieta
327314,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-11-01,-209.076,-40.782,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Itapemirim
327234,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-11-01,-212.178,-409.426,Reptilia,Testudines,Caretta caretta,Não,Arenoso,Morto,Presidente Kennedy
327208,Fundação Projeto Tamar - FPT,Espírito Santo,Diário,2024-11-01,-2.030.306,-402.897,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Vitória
327053,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-31,-211.575,-408.943,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
326921,Fundação Projeto Tamar - FPT,Espírito Santo,Diário,2024-10-30,-204.707,-403.437,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Morto,Vila Velha
326920,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-30,-212.792,-40.962,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Presidente Kennedy
326918,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-30,-211.338,-408.684,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
326916,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-30,-21.063,-40.835,Reptilia,Testudines,Caretta caretta,Não,Arenoso,Morto,Marataízes
326914,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-30,-210.653,-408.356,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
326913,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-30,-208.875,-40.765,Reptilia,Testudines,Chelonia mydas,Não,Água,Morto,Itapemirim
326912,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-30,-208.802,-40.76,Aves,Suliformes,Sula leucogaster,Não,Arenoso,Morto,Itapemirim
326779,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-29,-229.443,-421.837,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Arraial do Cabo
326753,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-29,-211.351,-408.701,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
326657,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-28,-212.955,-409.594,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Presidente Kennedy
326655,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-28,-211.585,-408.962,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
326651,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-28,-211.328,-408.663,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
326404,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-27,-211.325,-40.865,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
326398,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-27,-210.317,-408.125,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
326210,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-26,-211.376,-408.747,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
326207,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-26,-21.297,-409.591,Reptilia,Testudines,Caretta caretta,Não,Arenoso,Morto,Presidente Kennedy
326202,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-26,-212.735,-409.622,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Presidente Kennedy
326201,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-26,-210.758,-408.382,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
326200,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-26,-21.06,-408.338,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
326075,Fundação Projeto Tamar - FPT,Espírito Santo,Diário,2024-10-25,-1.880.925,-3.974.874,Reptilia,Testudines,Lepidochelys olivacea,Não,Arenoso,Morto,São Mateus
326009,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-25,-212.811,-409.624,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Presidente Kennedy
326008,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-25,-20.875,-407.619,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Itapemirim
325895,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Acionamento,2024-10-24,-208.397,-406.275,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Anchieta
325871,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-24,-212.705,-40.962,Reptilia,Testudines,Lepidochelys olivacea,Não,Arenoso,Morto,Presidente Kennedy
325853,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-24,-210.608,-40.834,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
325662,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-23,-211.868,-409.242,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
325658,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-23,-208.771,-407.617,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Vivo,Itapemirim
325634,Fundação Projeto Tamar - FPT,Espírito Santo,Diário,2024-10-23,-188.981,-397.444,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Morto,São Mateus
325518,Fundação Projeto Tamar - FPT,Espírito Santo,Diário,2024-10-22,-204.341,-403.253,Reptilia,Testudines,Caretta caretta,Não,Arenoso,Morto,Vila Velha
325488,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-22,-211.326,-40.866,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
325487,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-22,-212.385,-409.543,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Presidente Kennedy
325457,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-22,-210.314,-408.125,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
325450,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-22,-210.191,-408.101,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Marataízes
325409,Instituto Orca,Espírito Santo,Acionamento,2024-10-20,-207.851,-405.763,Mammalia,Cetacea,Sotalia guianensis,Não,Arenoso,Morto,Anchieta
325403,Instituto Orca,Espírito Santo,Diário,2024-10-21,-19.739,-399.833,Mammalia,Cetacea,Pontoporia blainvillei,Sim,Arenoso,Morto,Aracruz
325374,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-21,-229.404,-422.565,Reptilia,Testudines,Caretta caretta,Não,Arenoso,Morto,Arraial do Cabo
325367,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-21,-208.938,-407.741,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Itapemirim
325327,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-21,-209.934,-408.101,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Morto,Itapemirim
325323,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-21,-209.212,-407.918,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Itapemirim
325313,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-21,-209.145,-407.861,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Itapemirim
325309,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-21,-20.877,-407.618,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Itapemirim
325189,Fundação Projeto Tamar - FPT,Espírito Santo,Diário,2024-10-21,-1.877.451,-3.974.816,Reptilia,Testudines,Caretta caretta,Não,Arenoso,Morto,São Mateus
325143,Instituto Albatroz,Rio de Janeiro,Diário,2024-10-21,-2.293.837,-4.203.646,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Vivo,Arraial do Cabo
325117,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-19,-22.224,-415.183,Mammalia,Cetacea,Pontoporia blainvillei,Sim,Arenoso,Morto,Quissamã
325112,Instituto de Pesquisa e Reabilitação de Animais Marinhos - IPRAM,Espírito Santo,Diário,2024-10-20,-20.187.893,-40.190.647,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Serra
325111,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-20,-208.882,-407.652,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Itapemirim
325110,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-19,-221.341,-412.087,Mammalia,Cetacea,Pontoporia blainvillei,Sim,Arenoso,Morto,Quissamã
325109,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-20,-211.887,-409.254,Reptilia,Testudines,Caretta caretta,Não,Arenoso,Morto,Marataízes
325108,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-20,-20.942,-408.034,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Itapemirim
325106,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-20,-209.079,-407.827,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Itapemirim
325105,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-20,-208.779,-40.761,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Itapemirim
325103,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-20,-20.878,-407.606,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Itapemirim
325092,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-19,-221.342,-412.087,Mammalia,Cetacea,Pontoporia blainvillei,Sim,Arenoso,Morto,Quissamã
325086,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-20,-222.287,-415.298,Aves,Suliformes,Sula leucogaster,Não,Arenoso,Morto,Quissamã
325082,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-18,-22.392.972,-41.778.064,Mammalia,Cetacea,Sotalia guianensis,Não,Arenoso,Morto,Macaé
325079,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-20,-222.205,-415.089,Aves,Suliformes,Fregata magnificens,Não,Arenoso,Morto,Quissamã
325077,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-20,-221.865,-413.918,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Morto,Quissamã
325075,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-20,-2.140.149,-4.099.889,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
325074,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-20,-221.799,-413.679,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Morto,Quissamã
325072,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-20,-221.739,-41.345,Aves,Suliformes,Sula leucogaster,Não,Arenoso,Morto,Quissamã
325066,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-20,-22.168,-413.208,Aves,Suliformes,Sula leucogaster,Não,Arenoso,Morto,Quissamã
325058,Instituto de Pesquisa e Reabilitação de Animais Marinhos - IPRAM,Espírito Santo,Diário,2024-10-20,-2.018.526,-4.019.138,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Serra
325052,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-20,-208.488,-40.745,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Piuma
325051,Instituto de Pesquisa e Reabilitação de Animais Marinhos - IPRAM,Espírito Santo,Diário,2024-10-20,-1.991.822,-4.009.936,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Aracruz
325050,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-20,-225.327,-41.96,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Rio das Ostras
325047,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-20,-208.294,-40.691,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Anchieta
325046,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-20,-224.885,-418.934,Aves,Suliformes,Sula leucogaster,Não,Arenoso,Morto,Rio das Ostras
325045,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-20,-224.516,-418.555,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Morto,Rio das Ostras
325036,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-20,-222.132,-414.885,Reptilia,Testudines,Lepidochelys olivacea,Não,Arenoso,Morto,Quissamã
325035,Instituto de Pesquisa e Reabilitação de Animais Marinhos - IPRAM,Espírito Santo,Diário,2024-10-20,-200.294,4.015.875,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Morto,Fundão
325027,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-20,-2.137.432,-4.096.923,Reptilia,Testudines,Caretta caretta,Não,Arenoso,Morto,São Francisco de Itabapoana
325026,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-20,-2.140.992,-4.100.341,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
325009,Fundação Projeto Tamar - FPT,Espírito Santo,Diário,2024-10-20,-189.027,-397.443,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Morto,São Mateus
325007,Fundação Projeto Tamar - FPT,Espírito Santo,Diário,2024-10-20,-188.589,-397.482,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Morto,São Mateus
325005,Fundação Projeto Tamar - FPT,Espírito Santo,Diário,2024-10-20,-186.699,-397.436,Reptilia,Testudines,Caretta caretta,Não,Arenoso,Morto,São Mateus
325004,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-20,-208.117,-406.652,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Anchieta
325003,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Acionamento,2024-10-20,-207.741,-40.576,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Anchieta
324983,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-19,-222.079,-414.711,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Morto,Quissamã
324982,Instituto Baleia Jubarte - IBJ,Espírito Santo,Diário,2024-10-20,-1.844.136,-3.970.719,Mammalia,Cetacea,Megaptera novaeangliae,Não,Arenoso,Morto,Conceição da Barra
324979,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-19,-224.392,-418.457,Aves,Suliformes,Sula leucogaster,Não,Arenoso,Morto,Rio das Ostras
324978,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-19,-224.238,-418.281,Aves,Suliformes,Sula leucogaster,Não,Arenoso,Morto,Rio das Ostras
324977,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-19,-224.442,-418.512,Aves,Suliformes,Sula leucogaster,Não,Arenoso,Morto,Rio das Ostras
324975,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-19,-224.427,-418.494,Aves,Suliformes,Sula leucogaster,Não,Arenoso,Morto,Rio das Ostras
324974,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-19,-224.481,-418.543,Aves,Suliformes,Sula leucogaster,Não,Arenoso,Morto,Rio das Ostras
324973,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-19,-224.233,-418.276,Aves,Suliformes,Sula leucogaster,Não,Arenoso,Morto,Rio das Ostras
324972,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-19,-223.412,-417.432,Reptilia,Testudines,Lepidochelys olivacea,Não,Arenoso,Morto,Macaé
324968,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-19,-222.125,-414.865,Reptilia,Testudines,Lepidochelys olivacea,Não,Arenoso,Morto,Quissamã
324967,Fundação Projeto Tamar - FPT,Espírito Santo,Diário,2024-10-19,-205.157,-403.595,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Vila Velha
324961,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-19,-21.191,-409.271,Reptilia,Testudines,Caretta caretta,Não,Arenoso,Morto,Presidente Kennedy
324960,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-19,-222.319,-415.375,Reptilia,Testudines,Caretta caretta,Não,Arenoso,Morto,Carapebus
324959,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-19,-222.519,-415.863,Reptilia,Testudines,Lepidochelys olivacea,Não,Arenoso,Morto,Carapebus
324958,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-19,-212.799,-40.962,Reptilia,Testudines,Lepidochelys olivacea,Não,Arenoso,Morto,Presidente Kennedy
324957,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-19,-222.247,-415.203,Reptilia,Testudines,Lepidochelys olivacea,Não,Arenoso,Morto,Quissamã
324951,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-19,-20.999,-408.086,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Itapemirim
324949,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-19,-209.983,-408.089,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Itapemirim
324948,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-19,-224.139,-418.133,Reptilia,Testudines,Lepidochelys olivacea,Não,Arenoso,Morto,Macaé
324947,Instituto de Pesquisa e Reabilitação de Animais Marinhos - IPRAM,Espírito Santo,Diário,2024-10-19,-19.955.336,-40.140.232,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Aracruz
324946,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-19,-211.577,-408.949,Reptilia,Testudines,Caretta caretta,Não,Arenoso,Morto,Marataízes
324943,Instituto de Pesquisa e Reabilitação de Animais Marinhos - IPRAM,Espírito Santo,Diário,2024-10-18,-20.103.853,-40.173.028,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Serra
324942,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-19,-20.878,-407.605,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Itapemirim
324941,Instituto de Pesquisa e Reabilitação de Animais Marinhos - IPRAM,Espírito Santo,Diário,2024-10-18,-2.022.095,-40.203.754,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Serra
324940,Instituto de Pesquisa e Reabilitação de Animais Marinhos - IPRAM,Espírito Santo,Diário,2024-10-18,-2.022.178,-40.203.577,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Serra
324938,Instituto de Pesquisa e Reabilitação de Animais Marinhos - IPRAM,Espírito Santo,Diário,2024-10-18,-20.221.673,-40.203.635,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Serra
324907,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Acionamento,2024-10-19,-208.027,-405.875,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Anchieta
324883,Fundação Projeto Tamar - FPT,Espírito Santo,Diário,2024-10-19,-203.031,-402.899,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Vitória
324865,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Acionamento,2024-10-19,-207.654,-405.711,Reptilia,Testudines,Eretmochelys imbricata,Não,Arenoso,Morto,Anchieta
324847,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-19,-2.139.278,-4.098.966,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
324846,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-19,-2.143.008,-41.014.156,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,São Francisco de Itabapoana
324813,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-19,-2.152.477,-4.107.142,Reptilia,Testudines,Caretta caretta,Não,Arenoso,Morto,São Francisco de Itabapoana
324812,Instituto BW para a Conservação e Medicina da Fauna Marinha - IBW / Grupo de Estudos de Mamíferos Marinhos - GEMM Lagos,Rio de Janeiro,Diário,2024-10-19,-2.150.467,-4.107.059,Reptilia,Testudines,Lepidochelys olivacea,Não,Arenoso,Morto,São Francisco de Itabapoana
324798,Instituto de Pesquisa e Conservação Marinha - IPCMar,Espírito Santo,Diário,2024-10-18,-206.342,-404.371,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Morto,Guarapari
