Código,Instituição executora,Estado,Estratégia do trecho,Maré inicial,Data,Ponto - Lat,Ponto - Long,Espécies - Classe,Espécies - Ordem,Espécies - Espécie,Espécie ameaçada,Caracterização do ambiente,Condição,Cidade
120658,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Enchente,2020-03-22,-509.339,-3.626.117,Aves,Charadriiformes,Sterna hirundo,Não,Arenoso,Vivo,Galinhos
120443,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Vazante,2020-03-12,-490.512,-3.720.037,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Grossos
120359,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Vazante,2020-03-12,-509.471,-362.563,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120357,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Vazante,2020-03-12,-509.471,-362.563,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120353,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Vazante,2020-03-12,-50.947,-362.563,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120347,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Vazante,2020-03-12,-509.471,-362.563,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120216,Associação de Pesquisa e Preservação de Ecossistemas Aquáticos - AQUASIS,Ceará,Diário 15,Vazia,2020-03-07,-4.253.028,-38.006.983,Mammalia,Cetacea,Kogia sima,Não,Arenoso,Vivo,Beberibe
120180,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário,Vazante,2020-03-10,-475.894,-3.727.879,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
120134,Universidade do Estado do Rio Grande do Norte - UERN,Ceará,Diário,Vazante,2020-03-10,-473.541,-3.729.149,Reptilia,Testudines,Chelonia mydas,Não,Arenoso,Morto,Icapuí
120087,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-509.499,-3.625.534,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120086,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-50.936,-3.626.096,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120085,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-509.499,-3.625.534,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120084,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-50.936,-3.626.096,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120082,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-50.936,-3.626.096,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120081,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-50.936,-3.626.096,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120080,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-50.936,-3.626.096,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120079,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-509.499,-3.625.534,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120078,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-50.936,-3.626.096,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120077,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-509.499,-3.625.534,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120076,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-50.936,-3.626.096,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120075,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-50.936,-3.626.096,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120074,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-509.499,-3.625.534,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120073,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-509.499,-3.625.534,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120072,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-509.499,-3.625.534,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120071,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-509.499,-3.625.534,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120070,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-50.936,-3.626.096,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120069,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-50.936,-3.626.096,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120068,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-50.936,-3.626.096,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120067,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-50.936,-3.626.096,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120066,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-50.936,-3.626.096,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120065,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-509.499,-3.625.534,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120064,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-509.499,-3.625.534,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120063,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-509.499,-3.625.534,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120062,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-50.936,-3.626.096,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120061,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-50.936,-3.626.096,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120060,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-50.936,-3.626.096,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120059,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-50.936,-3.626.096,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120058,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-50.936,-3.626.096,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120057,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-50.936,-3.626.096,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120056,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-509.499,-3.625.534,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120055,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-50.936,-3.626.096,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120054,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-14,-50.936,-3.626.096,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120053,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-13,-509.361,-3.626.082,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120052,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-13,-509.361,-3.626.082,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120051,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-13,-509.361,-3.626.082,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120050,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-13,-509.361,-3.626.082,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120049,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-13,-509.361,-3.626.082,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120048,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-13,-509.361,-3.626.082,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120047,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-13,-509.361,-3.626.082,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
120046,Universidade do Estado do Rio Grande do Norte - UERN,Rio Grande do Norte,Diário,Cheia,2020-03-13,-509.361,-3.626.082,Aves,Charadriiformes,Sterna dougallii,Não,Arenoso,Vivo,Galinhos
