Código,Instituição executora,Estado,Cidade,Praia,Estratégia do trecho,Maré inicial,Data,Ponto - Lat,Ponto - Long,Espécies - Classe,Espécies - Ordem,Espécies - Espécie,Espécie ameaçada,Caracterização do ambiente,Condição
136888,Trecho 09,São Paulo,"Bertioga,São Sebastião",Boracéia,Diário,Enchente,2020-09-15,-237.582.966,-458.602.672,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Morto
136887,Trecho 09,São Paulo,"Bertioga,São Sebastião",Boracéia,Diário,Enchente,2020-09-15,-237.585.549,-458.650.542,Aves,Suliformes,Sula leucogaster,Não,Arenoso,Morto
136886,Trecho 09,São Paulo,"Bertioga,São Sebastião",Boracéia,Diário,Enchente,2020-09-15,-237.595.341,-458.709.943,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Morto
136885,Trecho 09,São Paulo,"Bertioga,São Sebastião",Boracéia,Diário,Enchente,2020-09-15,-237.598.359,-458.721.306,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
136884,Trecho 09,São Paulo,Bertioga,Enseada- Bertioga,Diário,Vazia,2020-09-15,-238.233.695,-460.441.982,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Vivo
136883,Trecho 09,São Paulo,Bertioga,Enseada- Bertioga,Diário,Vazia,2020-09-15,-23.820.109,-460.854.503,Aves,Suliformes,Sula leucogaster,Não,Arenoso,Morto
136882,Trecho 09,São Paulo,Bertioga,Enseada- Bertioga,Diário,Vazia,2020-09-15,-238.200.901,-460.861.937,Aves,Procellariiformes,Thalassarche chlororhynchos,Sim,Arenoso,Morto
136841,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Enchente,2020-09-15,-247.384.267,-475.297.462,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Morto
136840,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2020-09-15,-247.211.667,-474.986.927,Aves,Suliformes,Sula leucogaster,Não,Arenoso,Morto
136839,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2020-09-15,-250.105.093,-478.717.681,Mammalia,Cetacea,Pontoporia blainvillei,Sim,Arenoso,Morto
136838,Trecho 10,São Paulo,Ubatuba,Fazenda,Semanal,Vazia,2020-09-15,-233.635.033,-44.844.075,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Vivo
136836,Trecho 08,São Paulo,Itanhaém,Peruíbe - Itanhaém,Diário,Vazia,2020-09-15,-242.683.531,-469.240.663,Aves,Suliformes,Sula leucogaster,Não,Arenoso,Vivo
136835,Trecho 10,São Paulo,"Bertioga,São Sebastião",Boracéia,Diário,Enchente,2020-09-15,-237.575.007,-458.114.239,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
136808,Trecho 10,São Paulo,Caraguatatuba,Tabatinga,Diário,Vazante,2020-09-14,-235.744,-452.779,Reptilia,Testudines,Chelonia mydas,Sim,Água,Vivo
136807,Trecho 09,São Paulo,Santos,"Praia do José Menino, Praia do Gonzaga, Praia do Boqueirão, Praia do Embaré, Praia Aparecida, Ponta da Praia",Diário,Vazante,2020-09-15,-239.769.591,-463.182.111,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
