Código,Instituição executora,Estado,Cidade,Praia,Estratégia do trecho,Maré inicial,Data,Ponto - Lat,Ponto - Long,Espécies - Classe,Espécies - Ordem,Espécies - Espécie,Espécie ameaçada,Caracterização do ambiente,Condição
326873,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazia,2024-10-30,-25.024.862,-47.880.487,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
326745,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazia,2024-10-29,-248.113.893,-476.410.058,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
326744,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazia,2024-10-29,-249.998.791,-478.629.412,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
326596,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Enchente,2024-10-28,-247.480.176,-47.546.379,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Morto
326595,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Enchente,2024-10-28,-248.352.938,-476.730.876,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto
326594,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Enchente,2024-10-28,-249.161.321,-477.766.486,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
326593,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Enchente,2024-10-28,-250.042.952,-478.669.243,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
326592,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Enchente,2024-10-28,-250.253.095,-478.810.015,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
326339,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Enchente,2024-10-27,-248.721.866,-477.219.637,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
326338,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Enchente,2024-10-27,-2.483.463,-476.723.258,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
326139,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Enchente,2024-10-26,-249.805.074,-478.467.845,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
326001,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Enchente,2024-10-25,-248.015.956,-476.274.736,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Morto
326000,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Enchente,2024-10-25,-249.383.833,-478.036.287,Aves,Procellariiformes,Thalassarche chlororhynchos,Sim,Arenoso,Morto
325880,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Enchente,2024-10-24,-250.329.782,-478.841.686,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Vivo
325875,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-24,-248.963.278,-477.520.073,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
325874,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-24,-249.454.288,-478.112.295,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
325873,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-24,-249.920.453,-478.567.144,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
325681,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-23,-24.848.221,-476.899.097,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
325680,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-23,-249.264.095,-477.887.567,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
325679,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-23,-249.979.037,-478.615.782,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
325678,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-23,-250.279.568,-478.822.838,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
325677,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-23,-250.506.586,-478.895.827,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
325536,Trecho 07,São Paulo,Cananéia,Praia não identificada,Diário,Vazante,2024-10-22,-2.510.488,-4.789.548,Mammalia,Cetacea,Megaptera novaeangliae,Não,Rochoso,Morto
325500,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-22,-248.262.571,-476.605.386,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto
325499,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-22,-248.720.776,-477.212.765,Aves,Procellariiformes,Thalassarche chlororhynchos,Sim,Arenoso,Morto
325498,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-22,-248.967.143,-477.523.595,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto
325497,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-22,-248.982.081,-477.541.064,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
325496,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-22,-249.566.966,-478.236.852,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
325495,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-22,-249.591.149,-478.261.712,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
325494,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-22,-250.301.474,-478.832.148,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
325400,Trecho 10,São Paulo,Ubatuba,Lagoinha,Diário,Vazante,2024-10-22,-235.207.096,-451.901.032,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
325277,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Enchente,2024-10-21,-247.668.163,-475.761.174,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto
325276,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Enchente,2024-10-21,-248.730.923,-477.225.281,Mammalia,Cetacea,Pontoporia blainvillei,Sim,Arenoso,Morto
325275,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-21,-250.111.792,-478.719.706,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
325274,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-21,-249.934.569,-478.578.539,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Morto
325273,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-21,-24.983.775,-47.849.605,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Morto
325272,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-21,-249.750.929,-478.420.124,Mammalia,Cetacea,Sotalia guianensis,Sim,Arenoso,Morto
325271,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-21,-249.385.242,-478.035.689,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
325270,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-21,-249.385.242,-478.035.689,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
325269,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-21,-249.181.349,-477.790.003,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
325268,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-21,-249.138.036,-477.737.044,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
325267,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-21,-249.077.044,-477.662.937,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
325266,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazante,2024-10-21,-249.003.159,-477.573.649,Aves,Suliformes,Fregata magnificens,Não,Arenoso,Morto
325161,Trecho 10,São Paulo,Ubatuba,Santa Rita,Diário,Vazante,2024-10-21,-234.951.714,-451.028.402,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
325160,Trecho 10,São Paulo,Ubatuba,Santa Rita,Diário,Vazante,2024-10-21,-234.941.158,-451.027.704,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
325141,Trecho 10,São Paulo,Ubatuba,Praia Dura,Diário,Vazia,2024-10-20,-234.969.717,-4.517.468,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
325137,Trecho 10,São Paulo,São Sebastião,Praia da EnseadaSão Sebastião,Diário,Enchente,2024-10-20,-237.242.301,-454.208.081,Reptilia,Testudines,Lepidochelys olivacea,Sim,Água,Morto
324971,Trecho 07,São Paulo,Iguape,Iguape - Praia da Juréia,Diário,Enchente,2024-10-19,-246.354,-4.735.189,Aves,Suliformes,Sula leucogaster,Não,Arenoso,Vivo
324914,Trecho 09,São Paulo,Bertioga,Guaratuba,Diário,Vazante,2024-10-19,-237.816.647,-459.655.025,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
324893,Trecho 08,São Paulo,Itanhaém,Peruíbe - Itanhaém,Diário,Vazante,2024-10-19,-242.623.755,-469.146.019,Aves,Suliformes,Sula leucogaster,Não,Arenoso,Vivo
324882,Trecho 09,São Paulo,São Vicente,Itararé,Diário,Vazante,2024-10-19,-239.741.493,-463.688.861,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
324880,Trecho 10,São Paulo,São Sebastião,FigueiraSão Sebastião,Diário,Vazante,2024-10-19,-23.750.282,-454.116.428,Mammalia,Cetacea,Pontoporia blainvillei,Sim,Arenoso,Morto
324844,Trecho 08,São Paulo,Praia Grande,Praia Grande,Diário,Enchente,2024-10-19,-240.240.197,-464.549.652,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto
324806,Trecho 10,São Paulo,Caraguatatuba,Martim de Sá,Diário,Enchente,2024-10-18,-236.269.367,-453.821.867,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
324802,Trecho 10,São Paulo,Ilhabela,Praia não identificada,Diário,Vazante,2024-10-18,-237.230.633,-453.334.117,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Outros,Vivo
324785,Trecho 09,São Paulo,Guarujá,Mar Casado/Pernambuco,Diário,Enchente,2024-10-18,-239.615.377,-461.830.549,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
324765,Trecho 10,São Paulo,São Sebastião,Boiçucanga,Diário,Vazante,2024-10-18,-237.834.519,-456.345.082,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
324747,Trecho 08,São Paulo,Itanhaém,Praia dos Sonhos,Diário,Vazante,2024-10-18,-241.940.828,-467.987.788,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
324730,Trecho 10,São Paulo,Ilhabela,Pedra do Sino,Diário,Enchente,2024-10-18,-237.474.694,-453.480.223,Reptilia,Testudines,Chelonia mydas,Sim,Água,Vivo
324725,Trecho 10,São Paulo,Ubatuba,Fazenda,Semanal,Vazante,2024-10-18,-233.590.133,-448.567.567,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
324719,Trecho 08,São Paulo,Itanhaém,Itanhaém,Diário,Vazante,2024-10-18,-241.437.366,-467.105.902,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
324718,Trecho 08,São Paulo,Itanhaém,Itanhaém,Diário,Vazante,2024-10-18,-241.705.857,-467.578.681,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
324704,Trecho 09,São Paulo,Guarujá,Pitangueiras,Diário,Vazante,2024-10-18,-239.989.965,-462.591.762,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
324688,Trecho 08,São Paulo,Itanhaém,Itanhaém,Diário,Vazia,2024-10-17,-241.658.033,-467.498.483,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Vivo
324685,Trecho 09,São Paulo,Bertioga,Enseada- Bertioga,Diário,Vazante,2024-10-17,-238.132.957,-460.635.486,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
324680,Trecho 07,São Paulo,Iguape,Praia não identificada,Diário,Enchente,2024-10-17,-245.532.802,-472.207.029,Mammalia,Carnivora,Arctocephalus australis,Não,Arenoso,Vivo
324674,Trecho 10,São Paulo,Ubatuba,Vermelha do Norte,Diário,Enchente,2024-10-17,-234.144.167,-450.336.767,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
324660,Trecho 10,São Paulo,São Sebastião,Praia da EnseadaSão Sebastião,Diário,Enchente,2024-10-17,-237.203.115,-454.225.519,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
324659,Trecho 10,São Paulo,Caraguatatuba,Massaguaçu,Diário,Enchente,2024-10-17,-2.359.415,-4.533.857,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
324652,Trecho 09,São Paulo,Bertioga,Itaguaré,Diário,Vazante,2024-10-17,-237.863.572,-459.796.478,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
324634,Trecho 10,São Paulo,Caraguatatuba,Porto Novo,Diário,Vazante,2024-10-17,-237.008.209,-454.283.586,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
324633,Trecho 10,São Paulo,Ubatuba,Domingas Dias,Diário,Enchente,2024-10-17,-23.499.847,-451.437.342,Reptilia,Testudines,Chelonia mydas,Sim,Água,Morto
324629,Trecho 10,São Paulo,Ilhabela,Pacuíba,Semanal,Enchente,2024-10-17,-237.262.034,-453.174.926,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
324614,Trecho 10,São Paulo,Caraguatatuba,Massaguaçu,Diário,Vazia,2024-10-17,-235.950.717,-453.394.683,Mammalia,Cetacea,Sotalia guianensis,Sim,Água,Morto
324612,Trecho 09,São Paulo,Guarujá,Enseada-Guarujá,Diário,Vazante,2024-10-17,-239.922.903,-462.471.562,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
324603,Trecho 10,São Paulo,São Sebastião,Praia da Baleia,Semanal,Enchente,2024-10-16,-237.741.881,-456.753.373,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
324599,Trecho 09,São Paulo,Santos,"Praia do José Menino, Praia do Gonzaga, Praia do Boqueirão, Praia do Embaré, Praia Aparecida, Ponta da Praia",Diário,Vazante,2024-10-16,-239.702.771,-463.542.199,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
324589,Trecho 08,São Paulo,Peruíbe,Prainha,Acionamento,Enchente,2024-10-16,-244.333.259,-470.541.108,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
324588,Trecho 10,São Paulo,São Sebastião,Praia das Pitangueiras,Semanal,Enchente,2024-10-16,-238.250.354,-454.211.283,Reptilia,Testudines,Chelonia mydas,Sim,Água,Morto
324586,Trecho 10,São Paulo,Ubatuba,Perequê-açu,Diário,Vazante,2024-10-16,-234.188.086,-450.596.636,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
324581,Trecho 09,São Paulo,Guarujá,Enseada-Guarujá,Diário,Cheia,2024-10-16,-239.875.478,-462.055.837,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Vivo
324579,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Acionamento,Enchente,2024-10-16,-24.697.318,-4.745.059,Aves,Charadriiformes,Pluvialis dominica,Não,Arenoso,Vivo
324565,Trecho 10,São Paulo,Ilhabela,Pereque,Diário,Enchente,2024-10-16,-238.060.623,-453.656.398,Reptilia,Testudines,Chelonia mydas,Sim,Água,Morto
324459,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazia,2024-10-15,-2.499.831,-478.620.397,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Morto
324458,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazia,2024-10-15,-249.877.676,-478.534.013,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
324457,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazia,2024-10-15,-249.856.074,-478.515.118,Mammalia,Cetacea,Stenella frontalis,Não,Arenoso,Morto
324456,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazia,2024-10-15,-249.352.424,-477.996.105,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
324455,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Vazia,2024-10-15,-249.141.841,-47.774.229,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto
324454,Trecho 09,São Paulo,Bertioga,Enseada- Bertioga,Diário,Enchente,2024-10-15,-238.225.506,-460.923.245,Aves,Suliformes,Fregata magnificens,Não,Arenoso,Vivo
324452,Trecho 10,São Paulo,Ubatuba,Cedro,Semanal,Enchente,2024-10-15,-234.594.741,-450.349.975,Mammalia,Cetacea,Sotalia guianensis,Sim,Água,Morto
324388,Trecho 10,São Paulo,Ubatuba,Caçandoca,Diário,Enchente,2024-10-15,-235.630.768,-452.176.666,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto
324387,Trecho 10,São Paulo,Ubatuba,Vermelha do Centro,Diário,Vazante,2024-10-15,-234.647.133,-450.507.917,Aves,Suliformes,Sula leucogaster,Não,Arenoso,Morto
324386,Trecho 08,São Paulo,"Mongaguá,Praia Grande",Praia Grande - Mongaguá,Diário,Vazante,2024-10-15,-240.409.876,-465.005.364,Mammalia,Cetacea,Pontoporia blainvillei,Sim,Arenoso,Morto
324369,Trecho 10,São Paulo,Ubatuba,Praia da Fortaleza,Diário,Vazante,2024-10-15,-235.293.581,-451.659.309,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Morto
324368,Trecho 10,São Paulo,Ubatuba,Itaguá,Diário,Vazante,2024-10-15,-234.537.503,-450.626.695,Reptilia,Testudines,Eretmochelys imbricata,Sim,Arenoso,Morto
324358,Trecho 10,São Paulo,Ubatuba,Iperoig,Diário,Cheia,2024-10-14,-2.343.302,-450.688.383,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
324290,Trecho 08,São Paulo,Peruíbe,Peruíbe,Diário,Enchente,2024-10-14,-243.258.971,-46.995.518,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Vivo
324288,Trecho 08,São Paulo,Peruíbe,Peruíbe,Diário,Enchente,2024-10-14,-243.017.097,-469.688.734,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Vivo
324256,Trecho 09,São Paulo,"Bertioga,São Sebastião",Boracéia,Diário,Enchente,2024-10-14,-237.597.382,-458.708.257,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
324255,Trecho 09,São Paulo,Bertioga,Guaratuba,Diário,Enchente,2024-10-14,-237.718.568,-459.332.556,Aves,Suliformes,Sula leucogaster,Não,Arenoso,Morto
324254,Trecho 09,São Paulo,Bertioga,Guaratuba,Diário,Enchente,2024-10-14,-237.720.634,-459.337.009,Aves,Suliformes,Sula leucogaster,Não,Arenoso,Morto
324252,Trecho 09,São Paulo,Bertioga,Enseada- Bertioga,Diário,Vazia,2024-10-14,-238.450.035,-461.305.388,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
324236,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Enchente,2024-10-14,-249.435.578,-478.093.446,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto
324235,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Enchente,2024-10-14,-247.468.152,-475.441.079,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
324206,Trecho 10,São Paulo,Ubatuba,Praia da Ribeira,Diário,Enchente,2024-10-14,-235.078.954,-451.134.075,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
324204,Trecho 10,São Paulo,Ubatuba,Iperoig,Diário,Enchente,2024-10-14,-23.442.481,-450.686.581,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Vivo
324187,Trecho 10,São Paulo,Ubatuba,Praia da Fortaleza,Diário,Vazante,2024-10-14,-235.285.751,-451.663.783,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
324184,Trecho 08,São Paulo,Itanhaém,Itanhaém,Diário,Cheia,2024-10-13,-241.780.363,-467.713.874,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto
324169,Trecho 09,São Paulo,Santos,"Praia do José Menino, Praia do Gonzaga, Praia do Boqueirão, Praia do Embaré, Praia Aparecida, Ponta da Praia",Diário,Vazante,2024-10-13,-239.730.642,-463.267.478,Aves,Suliformes,Sula leucogaster,Não,Arenoso,Morto
324168,Trecho 09,São Paulo,Santos,"Praia do José Menino, Praia do Gonzaga, Praia do Boqueirão, Praia do Embaré, Praia Aparecida, Ponta da Praia",Diário,Vazante,2024-10-13,-239.702.121,-463.435.882,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
324167,Trecho 08,São Paulo,Itanhaém,Itanhaém,Diário,Cheia,2024-10-13,-242.134.041,-468.370.342,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto
324166,Trecho 08,São Paulo,Itanhaém,Itanhaém,Diário,Cheia,2024-10-13,-242.135.338,-468.364.334,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Morto
324165,Trecho 08,São Paulo,Itanhaém,Itanhaém,Diário,Cheia,2024-10-13,-242.142.373,-468.407.096,Aves,Sphenisciformes,Spheniscus magellanicus,Não,Arenoso,Morto
324145,Trecho 09,São Paulo,Guarujá,Mar Casado/Pernambuco,Diário,Enchente,2024-10-13,-2.397.138,-4.618.539,Aves,Suliformes,Sula leucogaster,Não,Arenoso,Morto
324121,Trecho 10,São Paulo,Ubatuba,Praia da Justa,Diário,Enchente,2024-10-13,-233.355.692,-449.096.632,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Vivo
324112,Trecho 08,São Paulo,Praia Grande,Praia Grande,Diário,Enchente,2024-10-13,-240.150.035,-46.417.804,Mammalia,Cetacea,Pontoporia blainvillei,Sim,Arenoso,Morto
324111,Trecho 08,São Paulo,Itanhaém,Itanhaém,Diário,Enchente,2024-10-13,-241.862.296,-467.866.731,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
324110,Trecho 10,São Paulo,São Sebastião,Barequeçaba,Diário,Cheia,2024-10-13,-238.307.241,-45.431.366,Mammalia,Cetacea,Pontoporia blainvillei,Sim,Arenoso,Morto
324109,Trecho 08,São Paulo,"Mongaguá,Praia Grande",Praia Grande - Mongaguá,Diário,Vazia,2024-10-13,-240.576.471,-465.381.793,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
324108,Trecho 08,São Paulo,Mongaguá,Mongaguá,Diário,Vazia,2024-10-13,-241.245.937,-466.755.737,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
324107,Trecho 08,São Paulo,Itanhaém,Itanhaém,Diário,Vazia,2024-10-13,-241.618.801,-467.417.201,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto
324106,Trecho 10,São Paulo,Caraguatatuba,Martim de Sá,Diário,Enchente,2024-10-13,-236.318.562,-453.860.584,Mammalia,Cetacea,Pontoporia blainvillei,Sim,Arenoso,Morto
324098,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Enchente,2024-10-13,-249.925.049,-478.573.413,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
324097,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Enchente,2024-10-13,-249.428.757,-478.085.848,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
324096,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Enchente,2024-10-13,-248.497.027,-476.922.015,Reptilia,Testudines,Lepidochelys olivacea,Sim,Arenoso,Morto
324077,Trecho 08,São Paulo,Itanhaém,Itanhaém,Diário,Enchente,2024-10-13,-242.082.267,-468.304.483,Aves,Charadriiformes,Larus dominicanus,Não,Arenoso,Vivo
324069,Trecho 09,São Paulo,Guarujá,Santa Cruz dos Navegantes,Diário,Enchente,2024-10-13,-239.961.111,-463.040.846,Aves,Suliformes,Phalacrocorax brasilianus,Não,Água,Morto
324053,Trecho 10,São Paulo,Caraguatatuba,Flecheiras,Diário,Enchente,2024-10-13,-236.903.771,-454.301.705,Aves,Suliformes,Sula leucogaster,Não,Arenoso,Morto
324052,Trecho 09,São Paulo,Guarujá,Enseada-Guarujá,Diário,Enchente,2024-10-13,-239.901.334,-462.395.473,Aves,Suliformes,Sula leucogaster,Não,Arenoso,Morto
324010,Trecho 10,São Paulo,Caraguatatuba,Capricórnio,Diário,Enchente,2024-10-13,-236.192.713,-453.553.136,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
323994,Trecho 08,São Paulo,Itanhaém,Itanhaém,Diário,Enchente,2024-10-12,-241.671.531,-467.507.148,Reptilia,Testudines,Caretta caretta,Sim,Arenoso,Morto
323993,Trecho 08,São Paulo,Peruíbe,Peruíbe,Diário,Enchente,2024-10-12,-24.301.545,-46.969.945,Aves,Suliformes,Fregata magnificens,Não,Arenoso,Vivo
323963,Trecho 07,São Paulo,Ilha Comprida,Ilha Comprida,Diário,Enchente,2024-10-12,-250.263.313,-478.801.346,Mammalia,Cetacea,Pontoporia blainvillei,Sim,Arenoso,Morto
323951,Trecho 08,São Paulo,Itanhaém,Praia não identificada,Diário,Enchente,2024-10-12,-241.893.223,-467.921.433,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
323947,Trecho 10,São Paulo,São Sebastião,Praia da Baleia,Semanal,Enchente,2024-10-12,-237.739.483,-456.754.392,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
323930,Trecho 10,São Paulo,São Sebastião,Praia da Baleia,Semanal,Vazante,2024-10-11,-237.746.157,-456.710.505,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
323929,Trecho 10,São Paulo,São Sebastião,Camburizinho,Diário,Vazante,2024-10-11,-23.777.214,-456.460.086,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
323850,Trecho 10,São Paulo,Ubatuba,Itamambuca,Diário,Enchente,2024-10-12,-234.064.953,-450.095.272,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
323833,Trecho 10,São Paulo,São Sebastião,Praia da Caiçara,Semanal,Cheia,2024-10-12,-237.253.563,-454.089.532,Aves,Suliformes,Fregata magnificens,Não,Rochoso,Vivo
323806,Trecho 10,São Paulo,Ilhabela,Pereque,Diário,Vazante,2024-10-11,-2.381.144,-453.668.433,Aves,Procellariiformes,Puffinus puffinus,Não,Arenoso,Vivo
323778,Trecho 09,São Paulo,São Vicente,Itaquitanduva,Diário,Enchente,2024-10-11,-239.975.933,-463.911.574,Reptilia,Testudines,Chelonia mydas,Sim,Arenoso,Morto
